dataset,split,model,n_runs,unit,test_rmse_mean,test_rmse_sample_sd,test_mae_mean,test_r2_mean,fit_seconds_total
esol,random,mean,3,log10(mol/L),2.137367586744315,0.016228753247077236,1.6341504392075297,-0.00555664165827315,0.004065800007083453
esol,random,rf,3,log10(mol/L),1.189567101855684,0.1592482360662989,0.8939059948999839,0.6850740665038352,13.566468399993028
esol,random,krr,3,log10(mol/L),1.4846791592198667,0.11922542884266799,1.1087531631072456,0.5129303880126241,0.19620520000171382
esol,random,gc,3,log10(mol/L),1.0462900405132818,0.10579273823110871,0.7823032002618958,0.7575991157679832,136.93027820000134
esol,scaffold,mean,3,log10(mol/L),2.314972895667876,0.0,1.7759079724506013,-0.19280657407148416,0.003329300001496449
esol,scaffold,rf,3,log10(mol/L),1.6913050399581044,0.01790628480506725,1.3076655040616225,0.363271130751933,11.957656200000201
esol,scaffold,krr,3,log10(mol/L),2.4723326323170998,0.0,1.9683840071063265,-0.3604795097832889,0.24822119998862036
esol,scaffold,gc,3,log10(mol/L),1.369989918344541,0.0359529557492423,1.0943235474601627,0.5820615759889518,126.63119129998086
freesolv,random,mean,3,kcal/mol,3.9627927963481384,0.47265373274729977,2.948994751836857,-0.010337346723352661,0.021789200021885335
freesolv,random,rf,3,kcal/mol,2.0613016056869404,0.66399972368442,1.2631356389277384,0.7276090013918948,9.875103400001535
freesolv,random,krr,3,kcal/mol,1.9988815446625925,0.4101171687452742,1.3426616891924734,0.7451534387646702,0.3337288000184344
freesolv,random,gc,3,kcal/mol,2.151184785167738,0.23176175241104352,1.5810528598331388,0.7008791324186374,252.8787547999964
lipophilicity,random,mean,3,logD,1.1687792712633265,0.014387965443405041,0.949426525888133,-0.001286824321497108,0.006811700004618615
lipophilicity,random,rf,3,logD,0.8384057012924083,0.011224259251101942,0.6322769021038045,0.4845748132586006,212.82321409998985
lipophilicity,random,krr,3,logD,0.835383692489391,0.015931357932699175,0.6206818257794827,0.4884087339734228,6.564190200006124
lipophilicity,random,gc,3,logD,0.7040988922393026,0.016058433235718334,0.5337657354502752,0.636242346290191,2362.7238857000048
